text,label
"This report provides a comprehensive overview of our financial performance for the fiscal year ended December 31, 2023. This annual report includes audited financial statements and management's discussion and analysis.",10-K
"Our quarterly report on Form 10-Q for the three months ended September 30, 2023 provides unaudited financial statements and management's discussion and analysis of our financial condition and results of operations.",10-Q
"This current report on Form 8-K is being filed to report the entry into a material definitive agreement and the departure of a director.",8-K
"Form 10-K annual report for the fiscal year ended March 31, 2023 including audited financial statements, risk factors, and management's discussion and analysis.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2023 with unaudited financial statements and management's discussion and analysis.",10-Q
"Amendment to annual report on Form 10-K/A for the fiscal year ended December 31, 2022 to correct errors in previously filed report.",10-K/A
"Current report on Form 8-K reporting the appointment of new Chief Financial Officer and related compensation arrangements.",8-K
"This annual report on Form 10-K contains forward-looking statements regarding our future financial performance and business strategies.",10-K
"Form 10-Q quarterly report for the three months ended March 31, 2023 providing interim financial information and management's discussion and analysis.",10-Q
"Amendment to quarterly report on Form 10-Q/A for the quarter ended September 30, 2023 to restate certain financial information.",10-Q/A
"This 8-K current report is being filed to disclose the entry into a material financing agreement and related risk factors.",8-K
"Annual report on Form 10-K for the fiscal year ended December 31, 2022 submitted to the Securities and Exchange Commission.",10-K
"Quarterly report on Form 10-Q for the quarter ended December 31, 2022 providing unaudited financial statements.",10-Q
"Form 8-K current report reporting the departure of the Chief Executive Officer and appointment of interim CEO.",8-K
"This annual report includes audited consolidated financial statements, notes to the financial statements, and management's discussion and analysis of financial condition.",10-K
"Form 10-Q quarterly report for the quarter ended June 30, 2022 containing interim financial statements and management's discussion.",10-Q
"Amendment to annual report on Form 10-K/A correcting previously filed information for the fiscal year ended March 31, 2022.",10-K/A
"Current report on Form 8-K reporting the acquisition of a subsidiary and related financing arrangements.",8-K
"Annual report on Form 10-K including business description, risk factors, management's discussion and analysis, and audited financial statements.",10-K
"Quarterly report on Form 10-Q for the three months ended September 30, 2022 with management's discussion and analysis of financial condition.",10-Q
"This Form 8-K current report is being filed to report the resignation of a board member and related corporate governance changes.",8-K
"Form 10-K annual report for the fiscal year ended December 31, 2021 with comprehensive financial information and disclosures.",10-K
"Quarterly report on Form 10-Q for the quarter ended March 31, 2022 providing interim financial statements and operational results.",10-Q
"Amendment to quarterly report on Form 10-Q/A for the quarter ended December 31, 2021 to correct typographical errors in financial data.",10-Q/A
"Current report on Form 8-K reporting the entry into a material contract and disclosure of related party transactions.",8-K
"This quarterly report includes unaudited interim financial statements and related notes for the period ended June 30, 2023.",10-Q
"Form 8-K current report disclosing a significant business development including a strategic partnership announcement.",8-K
"Annual report on Form 10-K for the fiscal year ended September 30, 2023 with detailed financial performance metrics.",10-K
"Quarterly report on Form 10-Q for the quarter ended December 31, 2023 providing management's review of operations and financial condition.",10-Q
"Amendment to annual report on Form 10-K/A to include restated financial statements for the fiscal year ended 2022.",10-K/A
"This 8-K report is being filed to report the resignation of the Chief Legal Officer and appointment of interim legal counsel.",8-K
"Form 10-K annual report containing risk factors section, legal proceedings disclosure, and corporate governance information.",10-K
"Quarterly report on Form 10-Q for the three months ended March 31, 2022 with interim balance sheet and income statement.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct errors in previously filed quarterly report.",10-Q/A
"Current report on Form 8-K reporting the termination of a material contract and related financial implications.",8-K
"Annual report on Form 10-K includes discussion of market opportunities, competitive landscape, and strategic initiatives.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2023 with management's discussion of liquidity and capital resources.",10-Q
"This Form 8-K is being filed to report the issuance of new securities and related financing activities.",8-K
"Form 10-K annual report for the fiscal year ended December 31, 2020 with audited financial statements and accompanying notes.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2023 containing interim financial information and risk disclosures.",10-Q
"Amendment to annual report on Form 10-K/A to include additional disclosures regarding pending litigation.",10-K/A
"Current report on Form 8-K reporting the declaration of dividends and related shareholder information.",8-K
"This annual report provides comprehensive information about our business operations, financial performance, and future outlook.",10-K
"Form 10-Q quarterly report for the quarter ended March 31, 2023 including management's discussion of results of operations.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct accounting errors in revenue recognition.",10-Q/A
"Current report on Form 8-K reporting the resignation of two board members and upcoming shareholder meeting.",8-K
"Form 10-K annual report includes detailed analysis of market conditions and competitive positioning.",10-K
"Quarterly report on Form 10-Q for the quarter ended December 31, 2022 providing financial metrics and operational highlights.",10-Q
"This 8-K current report is being filed to report the execution of a material merger agreement.",8-K
"Annual report on Form 10-K for the fiscal year ended June 30, 2023 with management's discussion and analysis of financial condition.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2023 with interim financial statements and related disclosures.",10-Q
"Amendment to annual report on Form 10-K/A to correct previously filed information regarding executive compensation.",10-K/A
"Current report on Form 8-K reporting the issuance of a press release containing material financial information.",8-K
"This quarterly report provides unaudited financial information for the period ended March 31, 2023 and management's analysis.",10-Q
"Form 8-K current report reporting the appointment of new independent director and committee assignments.",8-K
"Annual report on Form 10-K includes comprehensive discussion of environmental, social, and governance factors.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2022 with management's discussion of financial risks.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct typographical errors in management's discussion section.",10-Q/A
"Current report on Form 8-K reporting the termination of employment of key executive officer.",8-K
"Form 10-K annual report for the fiscal year ended December 31, 2023 with audited financial statements and supplementary data.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2022 providing interim financial information and risk factors.",10-Q
"This 8-K current report is being filed to report the commencement of a new business venture and related financing.",8-K
"Annual report on Form 10-K includes detailed discussion of strategic investments and capital allocation strategy.",10-K
"Quarterly report on Form 10-Q for the quarter ended March 31, 2023 with management's discussion of cash flows and liquidity.",10-Q
"Amendment to annual report on Form 10-K/A to include additional risk factors and disclosures.",10-K/A
"Current report on Form 8-K reporting the appointment of new board member with relevant industry experience.",8-K
"This quarterly report includes management's discussion and analysis of financial condition and results of operations.",10-Q
"Form 8-K current report disclosing a significant cybersecurity incident and related remediation efforts.",8-K
"Annual report on Form 10-K for the fiscal year ended September 30, 2022 with comprehensive financial disclosures.",10-K
"Quarterly report on Form 10-Q for the quarter ended December 31, 2023 with interim financial statements and management's review.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct errors in previously filed financial statements.",10-Q/A
"Current report on Form 8-K reporting the entry into a significant customer contract and related revenue projections.",8-K
"Form 10-K annual report includes discussion of legal proceedings, regulatory matters, and compliance activities.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2023 with management's discussion of operational performance.",10-Q
"This 8-K current report is being filed to report the declaration of special dividend and related shareholder matters.",8-K
"Annual report on Form 10-K for the fiscal year ended December 31, 2022 with audited financial statements and management's analysis.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2023 providing interim financial information and risk disclosures.",10-Q
"Amendment to annual report on Form 10-K/A to include restated financial statements for the fiscal year ended 2021.",10-K/A
"Current report on Form 8-K reporting the resignation of the Chief Operating Officer and appointment of interim COO.",8-K
"This quarterly report includes management's discussion and analysis of financial condition for the period ended March 31, 2023.",10-Q
"Form 8-K current report reporting the acquisition of intellectual property assets and related financing arrangements.",8-K
"Annual report on Form 10-K includes comprehensive discussion of business strategy, market position, and competitive factors.",10-K
"Quarterly report on Form 10-Q for the quarter ended December 31, 2022 with management's review of financial performance.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct errors in revenue recognition and expense classification.",10-Q/A
"Current report on Form 8-K reporting the issuance of new stock options to executive management.",8-K
"Form 10-K annual report for the fiscal year ended March 31, 2023 with detailed financial statements and disclosures.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2023 providing interim financial information and management's discussion.",10-Q
"This 8-K current report is being filed to report the commencement of litigation and related legal proceedings.",8-K
"Annual report on Form 10-K includes discussion of dividend policy and shareholder return strategies.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2022 with management's analysis of financial risks and opportunities.",10-Q
"Amendment to annual report on Form 10-K/A to correct previously filed information regarding related party transactions.",10-K/A
"Current report on Form 8-K reporting the appointment of new Chief Executive Officer and related compensation arrangements.",8-K
"This quarterly report provides management's discussion and analysis of financial condition and results of operations for Q2 2023.",10-Q
"Form 8-K current report disclosing the termination of a significant supplier agreement and related financial impact.",8-K
"Annual report on Form 10-K for the fiscal year ended December 31, 2020 with audited financial statements and management's discussion.",10-K
"Quarterly report on Form 10-Q for the quarter ended March 31, 2023 with interim balance sheet, income statement, and cash flow statement.",10-Q
"Amendment to quarterly report on Form 10-Q/A to include additional disclosures regarding internal control deficiencies.",10-Q/A
"Current report on Form 8-K reporting the declaration of regular dividend and related shareholder information.",8-K
"Form 10-K annual report includes discussion of market expansion plans and investment in research and development.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2022 with management's discussion of capital expenditures and financing activities.",10-Q
"This 8-K current report is being filed to report the issuance of new debt securities and related financing arrangements.",8-K
"Annual report on Form 10-K for the fiscal year ended September 30, 2023 with comprehensive financial analysis and strategic outlook.",10-K
"Quarterly report on Form 10-Q for the quarter ended December 31, 2022 providing management's review of operations and financial condition.",10-Q
"Amendment to annual report on Form 10-K/A to correct errors in previously filed report's risk factors section.",10-K/A
"Current report on Form 8-K reporting the resignation of board member and appointment of new independent director.",8-K
"This quarterly report includes interim financial statements and management's discussion of financial performance for Q1 2023.",10-Q
"Form 8-K current report reporting the entry into a material licensing agreement and related revenue sharing arrangements.",8-K
"Annual report on Form 10-K includes detailed discussion of corporate governance practices and board composition.",10-K
"Quarterly report on Form 10-Q for the quarter ended March 31, 2022 with management's analysis of market conditions and competitive landscape.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct typographical errors in financial statement footnotes.",10-Q/A
